X;reg_log_rmsw_z;reg_log_rmsw_lf;reg_log_nrmsw_z;reg_log_nrmsw_lf;reg_prob_rmsw_z;reg_prob_rmsw_lf;reg_prob_nrmsw_z;reg_prob_nrmsw_lf
2011-01;0.633040935672515;0.549524348844768;0.63864522417154;0.7353726632677834;0.535995640051641;0.549524348844768;0.559345329530478;0.576735419112767
2011-02;0.635832521908471;0.549375496593535;0.642405063291139;0.727294803302574;0.534393139349683;0.549375496593535;0.560756672619294;0.580064767819446
2011-03;0.62776176753122;0.548686161298194;0.63088376560999;0.7362242453282223;0.533116814922507;0.548686161298194;0.556807030952611;0.576949144092208
2011-04;0.635060902794364;0.550478057475535;0.639598758060664;0.7321428571428571;0.534703876812921;0.550478057475535;0.560134156811411;0.579985405555769
2011-05;0.627090301003345;0.543296041899223;0.632107023411371;0.725;0.527772602330136;0.543296041899223;0.551435003940099;0.571525021968876
2011-06;0.614190157668419;0.542575923766802;0.623506927854754;0.7352380952380952;0.526914245800895;0.542575923766802;0.55104298282278;0.570924171722664
2011-07;0.627479091995221;0.544052824773039;0.623178016726404;0.7333333333333333;0.528267913847916;0.544052824773039;0.551134902464037;0.571395766371674
2011-08;0.607023411371237;0.539097521863039;0.612517916865743;0.7440476190476191;0.522375141136614;0.539097521863039;0.545349261292386;0.566572256774135
2011-09;0.620879120879121;0.546013077132532;0.620640229335881;0.731904761904762;0.531226851148489;0.546013077132532;0.553857977465071;0.573317939946489
2011-10;0.633715377268386;0.547965989552499;0.63658070678128;0.7385714285714285;0.532668912327024;0.547965989552499;0.558799031134356;0.577780398890998
2011-11;0.611801242236025;0.542256666412758;0.624223602484472;0.7295238095238096;0.526627790948303;0.542256666412758;0.549899287593349;0.570046332409732
2011-12;0.618012422360248;0.549852154658111;0.629718107978978;0.7442857142857143;0.533202037834204;0.549852154658111;0.558921462477929;0.579543664821583
2012-01;0.60606784519828;0.540069617315492;0.605351170568562;0.7223809523809523;0.523841154717032;0.540069617315492;0.541010870700655;0.561627222710773
2012-02;0.591310575316305;0.537297051323443;0.600381952733349;0.7161904761904762;0.521142772247334;0.537297051323443;0.541527518337598;0.562170634630997
2012-03;0.606741573033708;0.538609763446622;0.607458761654315;0.7180952380952381;0.521125073948753;0.538609763446622;0.539148876304102;0.561684445697362
2012-04;0.619890031078174;0.544709621209243;0.622997848434138;0.741904761904762;0.52808042319642;0.544709621209243;0.549766566510952;0.570755553127848
2012-05;0.609069212410501;0.542949745722749;0.613126491646778;0.7245238095238096;0.526139108476693;0.542949745722749;0.546498075724511;0.568341378152361
2012-06;0.59851922617626;0.537729218395454;0.610460950561261;0.7395238095238095;0.51982037978701;0.537729218395454;0.54034857123591;0.562759763710645
2012-07;0.584707287933094;0.532208734839686;0.595937873357228;0.7373809523809524;0.514587482240287;0.532208734839686;0.53350435256888;0.555969685833521
2012-08;0.585243553008596;0.532591717221977;0.591929321872015;0.7307142857142858;0.513379203380381;0.532591717221977;0.53041523002706;0.554941743657363
2012-09;0.572520908004779;0.528530739002814;0.577299880525687;0.7164285714285714;0.511087335326199;0.528530739002814;0.52881292104874;0.551436347103865
2012-10;0.583990442054958;0.531240221608255;0.590442054958184;0.7233333333333334;0.513493176046668;0.531240221608255;0.531335282105906;0.554295023526267
2012-11;0.576133651551313;0.529773861057728;0.579236276849642;0.7242857142857143;0.51266867989865;0.529773861057728;0.528675358171008;0.551002251978018
2012-12;0.575525812619503;0.528924341223275;0.590822179732314;0.7185714285714285;0.511303130982494;0.528924341223275;0.528699430200331;0.551500334236113
2013-01;0.573985680190931;0.526782351320803;0.571360381861575;0.7221428571428572;0.509656886545449;0.526782351320803;0.521356364315905;0.54386146353952
2013-02;0.562246117084827;0.522719422016311;0.559139784946237;0.7130952380952381;0.505732233452235;0.522719422016311;0.518998246092224;0.541123639805583
2013-03;0.544128198995456;0.515726749730504;0.555369528820856;0.7083333333333334;0.497544847905288;0.515726749730504;0.509168486847031;0.533143886660323
2013-04;0.541378487956117;0.513960996335941;0.553064631528738;0.6947619047619048;0.496824776263702;0.513960996335941;0.507587113763564;0.529907219658507
2013-05;0.551460028721876;0.516971649688284;0.555528961225467;0.6935714285714286;0.499307358067079;0.516971649688284;0.509617537191583;0.53286403038259
2013-06;0.540430622009569;0.511462439459164;0.545693779904306;0.6952380952380952;0.494927602018464;0.511462439459164;0.506008763749989;0.527458611848558
2013-07;0.53877356239561;0.510680746186698;0.546647578143641;0.6980952380952381;0.494055118083336;0.510680746186698;0.504036870290093;0.525498341652609
2013-08;0.537616431812754;0.514239785915424;0.549080487222355;0.7033333333333334;0.497960377360481;0.514239785915424;0.50794850426347;0.529678502560058
2013-09;0.514695340501792;0.503701310852826;0.538112305854241;0.685;0.488503293200924;0.503701310852826;0.497929179621538;0.51818297325397
2013-10;0.526039178213091;0.507593150545451;0.534400382226469;0.6688095238095239;0.491708353702652;0.507593150545451;0.499424494353299;0.520413748234103
2013-11;0.51123326959847;0.501670870727535;0.515057361376673;0.6742857142857143;0.486862952002981;0.501670870727535;0.492532358599687;0.512062305010312
2013-12;0.527459407831901;0.504719856791376;0.531279847182426;0.6778571428571428;0.489987764235858;0.504719856791376;0.500247679693828;0.519383778220785
2014-01;0.521032504780115;0.505085595609649;0.526051625239006;0.6864285714285714;0.489359543516208;0.505085595609649;0.496584449116779;0.517459997845742
2014-02;0.524731182795699;0.505988427044884;0.525925925925926;0.6778571428571428;0.490734049423808;0.505988427044884;0.499672224794059;0.519950409074303
